contrato,status,data_vigencia,data_checagem,verificado,dias_atraso,parcela_atual,valor_parcela,vencimento_mes_atual,data_para_checar,dias_desde_vencimento,d3_cai_proximo_mes,pode_checar,deve_checar_hoje,motivo
2467956000,Pago,2025-05-29,2025-06-04,False,,1,236.3,2025-12-29,2026-01-01,-17,True,False,False,D+3 ainda não atingido (dias desde vencimento: -17)
2469631000,Pago,2025-05-30,2025-06-04,False,,1,220.95,2025-12-30,2026-01-02,-18,True,False,False,D+3 ainda não atingido (dias desde vencimento: -18)
2180931000,Em dia,2024-07-29,2025-03-28,False,,8,57.8,2025-12-29,2026-01-01,-17,True,False,False,D+3 ainda não atingido (dias desde vencimento: -17)
2180919000,Em dia,2024-07-29,2025-03-28,False,,8,86.7,2025-12-29,2026-01-01,-17,True,False,False,D+3 ainda não atingido (dias desde vencimento: -17)
2180916000,Pago,2024-07-29,2025-03-28,False,,9,57.8,2025-12-29,2026-01-01,-17,True,False,False,D+3 ainda não atingido (dias desde vencimento: -17)
2180912000,Pago,2024-07-29,2025-03-28,False,,9,86.7,2025-12-29,2026-01-01,-17,True,False,False,D+3 ainda não atingido (dias desde vencimento: -17)
2180909000,Em dia,2024-07-29,2025-03-28,False,,8,262.08,2025-12-29,2026-01-01,-17,True,False,False,D+3 ainda não atingido (dias desde vencimento: -17)
2180906000,Pago,2024-07-29,2025-03-28,False,,9,115.6,2025-12-29,2026-01-01,-17,True,False,False,D+3 ainda não atingido (dias desde vencimento: -17)
2180905000,Em dia,2024-07-29,2025-03-28,False,,8,86.7,2025-12-29,2026-01-01,-17,True,False,False,D+3 ainda não atingido (dias desde vencimento: -17)
2180902000,Pago,2024-07-29,2025-03-28,False,,9,236.3,2025-12-29,2026-01-01,-17,True,False,False,D+3 ainda não atingido (dias desde vencimento: -17)
2498149000,Pago,2025-06-30,2025-07-07,False,,1,57.8,2025-12-30,2026-01-02,-18,True,False,False,D+3 ainda não atingido (dias desde vencimento: -18)
2469621000,Pago,2025-05-30,2025-06-04,False,,1,86.7,2025-12-30,2026-01-02,-18,True,False,False,D+3 ainda não atingido (dias desde vencimento: -18)
2429905000,Pago,2025-04-29,2025-05-06,False,,1,149.4,2025-12-29,2026-01-01,-17,True,False,False,D+3 ainda não atingido (dias desde vencimento: -17)
2180901000,Pago,2024-07-29,2025-03-28,False,,9,147.3,2025-12-29,2026-01-01,-17,True,False,False,D+3 ainda não atingido (dias desde vencimento: -17)
2444999000,Cancelado por Inadimplência,2025-05-09,2025-06-04,False,,1,57.8,2025-12-09,2025-12-12,,False,True,False,Status: Cancelado por Inadimplência
2469620000,Pago,2025-05-30,2025-06-04,False,,1,86.7,2025-12-30,2026-01-02,-18,True,False,False,D+3 ainda não atingido (dias desde vencimento: -18)
2526161000,Pago,2025-07-31,2025-08-06,False,,1,189.04,2025-12-31,2026-01-03,-19,True,False,False,D+3 ainda não atingido (dias desde vencimento: -19)
